threads,image,transform,input_path,output_path,status,task_time_seconds
6,img_02_barbara_gray,inversion_vertical_color,/tmp/img_analyzer_qt5_jhfzoofc/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_vc.bmp,ok,0.001272
6,img_02_barbara_gray,inversion_horizontal_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_hg.bmp,ok,0.002092
6,img_02_barbara_gray,inversion_horizontal_color,/tmp/img_analyzer_qt5_jhfzoofc/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_hc.bmp,ok,0.000434
6,img_02_barbara_gray,desenfoque_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_dg.bmp,ok,0.001896
6,img_02_barbara_gray,desenfoque_color,/tmp/img_analyzer_qt5_jhfzoofc/input/img_02_barbara_gray.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_02_barbara_gray_dc.bmp,ok,0.001214
6,img_03_blue-bmp-32-bit,inversion_vertical_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_vg.bmp,ok,0.000395
6,img_03_blue-bmp-32-bit,inversion_vertical_color,/tmp/img_analyzer_qt5_jhfzoofc/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_vc.bmp,ok,0.000498
6,img_03_blue-bmp-32-bit,inversion_horizontal_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_hg.bmp,ok,0.000331
6,img_03_blue-bmp-32-bit,inversion_horizontal_color,/tmp/img_analyzer_qt5_jhfzoofc/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_hc.bmp,ok,0.000362
6,img_03_blue-bmp-32-bit,desenfoque_grises,/tmp/img_analyzer_qt5_jhfzoofc/input/img_03_blue-bmp-32-bit.bmp,/home/parallels/Documents/act/image_analyzer/output/6_threads/img_03_blue-bmp-32-bit_dg.bmp,ok,0.001378
